Epoch,Loss,Learning_rate
0,-5036.720703125,0.001
9,-5096.9462890625,0.001
19,-5131.0029296875,0.001
29,-5159.41748046875,0.001
39,-5189.17822265625,0.001
49,-5206.2822265625,0.001
59,-5225.21728515625,0.001
69,-5239.86962890625,0.001
79,-5258.51416015625,0.001
89,-5264.86962890625,0.001
99,-5279.79931640625,0.001
109,-5290.94189453125,0.001
119,-5307.41064453125,0.001
129,-5323.63525390625,0.001
139,-5339.392578125,0.001
149,-5350.2314453125,0.001
159,-5365.70556640625,0.001
169,-5373.1181640625,0.001
179,-5388.05224609375,0.001
189,-5395.3291015625,0.001
199,-5415.9384765625,0.001
