Epoch,Loss,Learning_rate
0,-4071.634521484375,0.001
9,-4105.52880859375,0.001
19,-4124.3330078125,0.001
29,-4140.04638671875,0.001
39,-4155.38671875,0.001
49,-4165.6162109375,0.001
59,-4175.54248046875,0.001
69,-4184.09326171875,0.001
79,-4194.7080078125,0.001
89,-4197.5341796875,0.001
99,-4207.4345703125,0.001
109,-4214.39697265625,0.001
119,-4223.2841796875,0.001
129,-4231.794921875,0.001
139,-4240.47705078125,0.001
149,-4247.45947265625,0.001
159,-4257.05126953125,0.001
169,-4263.5947265625,0.001
179,-4272.96533203125,0.001
189,-4279.34912109375,0.001
199,-4291.01416015625,0.001
