F_UserName,User_nIdx,F_Comment,Label,TextLen
iYaF-,487,神里不愧是亲女儿[允悲]回来看看就热评打脸现场,3.0,23
提尔乌斯,1,加油(ง •̀_•́)ง！！！,3.0,15
提尔乌斯,1,加油！期待！,3.0,6
提尔乌斯,1,加油米哈游，期待原神的公测[鼓掌][鼓掌],3.0,21
提尔乌斯,1,加油米哈游，期待能有好玩的新作[哈哈]！希望你们不要让我们失望啊[赞]！,3.0,36
东京最慢传说被毒死的土豆服务器,2295,求大伟哥给个资格,3.0,8
skytree百沫,2068,塞尔达120神庙全通，明天cj我就不去了，怕认错……等等！他们是同一个展台了？[吃瓜][吃瓜][吃瓜],3.0,51
RAOOOOOO豹,846,抄袭,3.0,2
猫某人f,2397,加油啊,3.0,3
猫某人f,2397,开服啊！！！直接648,3.0,11
北原滝,2220,呜呜呜呜,3.0,4
红鲤鱼与绿鲤鱼与驴--233,1561,啥时候ps4平台测试啊[悲伤],3.0,15
幽远tom,1784,支持原神，加油！[憧憬],3.0,12
乐酷烤鱼Lucky,2458,赶紧出吧，[可怜],3.0,9
猪屁味冬瓜茶,2545,微博果然是中国战狼集聚地[鼓掌][鼓掌],3.0,20
苟殉,1745,期待，什么时候出成品游玩啊,3.0,13
卖火柴的小男孩9160,1691,这不是塞尔达吗,3.0,7
可怕的喵2333,1273,米哈游加油，原神要做好啊，明年一定玩,3.0,18
可怕的喵2333,1273,我觉得一些辣眼睛的线上喷子才是癌，还是急性癌，在线上，您高贵，您能喷，动不动就让别人死妈。干货拿不出来，怼不过就喷，人家也没有求着让你玩，你想举报就举报，想跟风就跟风，想带节奏就带节奏，想恰烂钱就恰烂钱，别在评论区哔哔赖赖，早饭都要吐出来了。,3.0,121
可怕的喵2333,1273,您高贵，您配，行了吧,3.0,10
小朱老師有墨水,856,什么时候公测？,3.0,7
有一种云vvv,1151,太黑暗了,3.0,4
玄幻天米,2493,KO,3.0,2
释王权,2353,我不想说什么，我有ns，如果是老任，se和玩家，怼原神的我觉得没什么，毕竟国产手游已经见惯了，但是腾讯，网易怼nm呢，五十步笑百步，骂别人，撒泡尿照照自己，一副德行，王者抄风暴技能，王牌战士不说了，网易还好一点一点点，有一些作品，腾讯你先好好发展你的next工作室吧,3.0,133
6大文豪6,2416,时间会证明一切。米哈游，我期待着。,3.0,17
Pixel76,215,官方给我硬起来，这帮赛吹也是够了，好好看看著作权法什么算是抄袭。,3.0,32
暮小翊,853,无脑洗的人蠢，无脑黑带节奏的人坏，无脑跟风黑的人又蠢又坏。,3.0,29
灰燕l,1805,哇看到之后吓得我直接卸载了崩坏二和崩坏三，到了能不能退钱啊，算了卖号吧[二哈][二哈],3.0,43
鹤唳MOE,2756,看了几个试玩的实况，感觉还可以，期待,3.0,18
康师傅养生面,2487,太黑暗了，愿光明指引我们~故  我在,3.0,18
三分钟的Alence,1857,ios哪里下载啊,3.0,8
Allanpoe黑猫,2097,我就当联机塞尔达玩了，很多人骂归骂。买还是会买，因为抄塞尔达就不可能不好玩，但我会记得这不是米哈游的实力，你做不出来,3.0,58
Allanpoe黑猫,2097,他们抄的是塞尔达，那就不可能不好玩懂吧？但是这不是他们自己的心血和实力，记住这点,3.0,40
拜拉席恩·橡木盾,2749,为什么不抽原神：旷野之息？,3.0,13
Aiuo2018,2418,死宅的钱真好赚～,3.0,8
安洁与庞,2012,这里也有鹅厂水军？,3.0,9
飞翔湖南人,2059,[吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐],3.0,120
飞翔湖南人,2059,“在野外战斗成功清理掉营地敌人之后，游戏还会给一个营地箱子解锁的特写”看了实况，这他妈的一模一样啊，其他一样的就不提了！简直恶心！本来我以为你就PV碰瓷呢，你们准备整个游戏都碰瓷塞尔达传说是吗？亏得我还帮你们说好话！你们好歹留点自己的东西在自己的游戏里面吧！哪怕一点呢！,3.0,135
尅埜,1407,我真是够了，我发现我玩的ns游戏塞尔达传说和这个游戏好像。我怎么玩一个日本山寨游戏？虽然有的人说什么滑翔，游泳，攀爬只允许你原神有？射个箭我就抄你原神了？场景看起来像？只允许你原神有草地？这群洗地的真可恶，抄了就是抄了，国产游戏之光，不容你这山寨垃圾玷污！我再也不玩塞尔达了,3.0,137
