user_nIdx,UserName,conad,guide,cola,ocgnn,dmgd,Degree
0,薪火鹏,0,0,0,1,0,1.0
1,提尔乌斯,0,0,0,1,1,4.0
2,猫的摇篮-伪物,0,0,0,0,1,2.0
3,非常神奇的老z,0,0,0,0,0,1.0
4,假装很强的萌新,1,0,0,0,0,1.0
5,空空今天养乐多了吗,1,0,0,0,0,1.0
6,阿卡牟-akamoo,0,0,0,0,0,1.0
7,Y口十子,0,0,0,0,0,3.0
8,斯蒂芬徐,0,0,0,0,0,1.0
9,FAITHLESSS,0,0,0,0,0,1.0
10,4K包子,0,0,0,0,0,1.0
11,Clown1008,0,1,0,0,0,1.0
12,绯色灼眼,0,0,0,0,0,1.0
13,Luciferbear,0,0,0,0,0,1.0
14,zx小堕,0,0,0,0,0,1.0
15,让我成为自己的锚,0,0,0,0,1,4.0
16,翔锅就是大象,0,0,0,0,0,1.0
17,DoctorRab,0,0,0,0,0,1.0
18,燃烧de狒狒,0,0,0,0,0,1.0
19,lkx3377456,1,0,1,0,1,4.0
20,kirasaya,0,0,0,0,0,1.0
21,研_________永远的新人,0,0,0,0,0,1.0
22,Antares1906,0,0,0,0,0,1.0
23,糊糊浃浃,0,0,0,0,0,1.0
24,馀妍,0,0,0,0,0,1.0
25,肖申克的后妈,0,0,0,0,0,1.0
26,Sun_Has_Sunny,0,0,0,0,0,1.0
27,牧雨童,0,0,0,1,0,1.0
28,曾几何时的乡巴佬,0,0,0,0,0,1.0
29,唯yuan有小爆脾气,0,0,0,0,0,1.0
30,能力有限Company,0,0,0,0,0,1.0
31,FD_ZJ,0,0,0,0,0,1.0
32,超级抠的华子的同事,0,0,0,0,0,1.0
33,TVemu,0,0,0,0,0,1.0
34,DEV-7,1,0,0,0,0,1.0
35,南十字星MX,0,0,0,0,0,1.0
36,Yan-zitiao,0,0,0,0,0,1.0
37,sid456838,0,0,0,0,0,1.0
38,途泱,0,0,0,0,0,1.0
39,GiarlDxin,0,0,0,0,0,4.0
40,only_5,0,0,0,0,0,1.0
41,l_Asuka_l,0,0,0,0,0,1.0
42,三十建构设计工作室,0,0,0,1,0,1.0
43,漂小流,0,0,0,0,1,2.0
44,MSK-友人A-,0,0,0,0,0,1.0
45,逆风期多赚少花-aP,0,0,0,0,0,1.0
46,永冻豪宅,0,1,0,0,0,1.0
47,超和平冬子,0,0,0,0,0,1.0
48,jensouyzx,0,0,0,0,0,1.0
49,11223344八甲基环丁烷,0,0,0,0,0,1.0
50,巖繭,0,0,0,0,0,1.0
51,走运的猫,0,0,0,0,0,1.0
52,Toshinmaro,1,0,0,0,0,1.0
53,林克没有时间,0,0,0,0,0,1.0
54,夏天1227,0,0,0,0,0,1.0
55,伊伊伊然_,0,0,0,0,0,1.0
56,Tusmuto,1,0,0,0,0,1.0
57,JxmDY,0,0,0,0,0,1.0
58,D胡多多D,1,0,0,0,0,1.0
59,丁悦律师,1,0,0,0,0,1.0
60,毛毛熊abc,0,1,0,0,1,2.0
61,沙豆布吉岛岛主,0,0,0,0,0,1.0
62,智慧弟弟,0,0,0,0,0,1.0
63,话唠专用矫正器,0,0,0,0,1,2.0
64,J_Ukiyo,0,0,0,0,0,1.0
65,--领衔主演--,0,0,0,0,0,1.0
66,蓝色格zi,0,0,0,0,0,1.0
67,魔妖72,0,0,0,0,0,1.0
68,海拉鲁死鱼,0,0,0,0,0,1.0
69,绝缘_逻辑,0,0,0,0,0,1.0
70,白玦,0,0,0,1,1,1.0
71,ShadowMurlong,0,0,0,0,0,1.0
72,水饺码头,0,0,0,0,0,1.0
73,就叫我亚索吧,0,0,0,0,0,1.0
74,小张张志祥,0,0,0,0,0,1.0
75,Goaheadbb,0,0,0,0,0,1.0
76,果茶woye,0,1,0,0,0,1.0
77,FatMan_久,0,0,0,0,0,1.0
78,用户ysg2kn7stw,0,0,0,0,0,1.0
79,leon珺,0,0,0,1,0,1.0
80,_吴叫兽,1,0,0,0,1,2.0
81,不瞎折腾不舒服斯基,0,0,0,0,0,2.0
82,_SCarLetII,0,0,0,0,0,1.0
83,坑有脑子,0,0,0,0,0,1.0
84,TOZZ_NextGen,0,0,0,0,0,1.0
85,一只开闭闭,0,0,0,0,0,1.0
86,amewbaby,0,0,0,0,0,1.0
87,vensli,0,0,0,0,0,1.0
88,狂乱贵公子,0,0,0,0,0,1.0
89,什么时候长尾巴-,0,0,0,0,0,2.0
90,散落羽翼丿,1,1,0,0,0,1.0
91,誓约胜利之王,0,0,0,0,0,1.0
92,白石麻衣亲了察,0,0,0,0,0,1.0
93,间桐暴怒,1,0,0,1,0,1.0
94,xiong的闲居,0,0,0,0,0,1.0
95,我真的是一只小恐龙啊,0,1,0,0,0,5.0
96,最猪儿,0,0,0,0,0,1.0
97,盛夏的野兽_,0,0,0,0,0,1.0
98,红玉胤紫,1,0,0,0,0,1.0
99,Cecilia_只影空遊,0,0,0,0,0,1.0
100,水邪大人,0,0,1,0,1,1.0
101,养猫少年-阿晨,0,1,0,1,0,1.0
102,凌汛,1,0,0,0,0,1.0
103,unscs1337,0,0,0,0,1,2.0
104,穿刺仨甲,0,0,0,0,0,1.0
105,亜空間遊泳,0,1,0,0,0,1.0
106,小小小小小雨_,0,0,0,0,0,1.0
107,盛夏薇澜,1,0,0,0,0,1.0
108,鱼饼干_Z,0,0,0,0,0,1.0
109,水哥的表弟,0,0,0,0,0,1.0
110,thewonder,0,0,0,0,0,1.0
111,社会军规二十三,0,0,0,0,0,1.0
112,黑瞳过年,0,1,0,0,0,1.0
113,给贫道来碗酒,0,0,0,0,0,1.0
114,把记忆结成冰zz,1,0,0,0,0,3.0
115,Be39_Gph,0,0,0,0,1,5.0
116,Lost_2021,0,0,0,0,1,2.0
117,胡吃海喝的胖伙计,0,0,0,0,0,1.0
118,镰舞死神,0,0,0,0,0,2.0
119,不思者不语,0,0,0,0,0,1.0
120,Ning某,0,0,0,0,0,1.0
121,HaaiHaaiHaai,0,0,1,0,0,1.0
122,阿汛吗,0,0,0,1,0,1.0
123,Ant1m0ny,1,0,0,0,0,2.0
124,洛书_Anson,0,0,0,0,0,1.0
125,猫痣,0,0,0,0,0,1.0
126,东木火火火火,0,0,0,0,0,1.0
127,山德鲁大君,0,0,0,0,0,1.0
128,庚酱好好吃,0,0,0,1,0,1.0
129,出生就在罗马,0,0,0,1,0,2.0
130,天勒个宇,0,0,0,0,0,1.0
131,奶爸雪过云清,0,0,0,0,0,1.0
132,Allen-Z,1,1,0,0,0,2.0
133,风咏,0,0,0,0,0,1.0
134,昨天炖的鱼,0,0,0,0,0,1.0
135,醉筠子-躺了,0,0,0,0,0,1.0
136,ar峯,0,0,0,0,0,1.0
137,能不能跪下来听我道歉,0,0,1,0,0,1.0
138,我爱开封菜,0,1,0,0,1,2.0
139,NickHoward,1,0,0,0,0,1.0
140,喵和仓鼠是一家,0,0,0,0,0,1.0
141,丨Sternen丨,0,0,0,0,0,1.0
142,Mr小輝,0,0,0,0,0,2.0
143,阿次次饭团咪,0,0,0,0,0,1.0
144,333Repeat,0,0,0,0,0,1.0
145,鵺之梦,0,0,1,0,0,2.0
146,馬将军1989,1,0,0,0,0,1.0
147,逆天围脖_,0,0,0,0,0,1.0
148,OK小团长-,0,0,0,0,0,2.0
149,bozi_Wong,0,0,0,0,0,1.0
150,天缘skylove,0,0,0,0,0,3.0
151,无情大手子,0,0,0,0,0,1.0
152,狗狗是小腿子还是九九更是肘肘,0,0,0,0,0,1.0
153,一吉desu,0,0,1,0,0,1.0
154,吮指原,0,0,0,1,0,1.0
155,凌晨一点改微博名,0,0,0,0,0,1.0
156,_肉山小魔王-此号已废,0,0,0,0,0,2.0
157,无语PK,0,0,0,0,0,1.0
158,焦糖-_-,0,0,0,0,0,1.0
159,Abnaq3idmos,0,0,0,0,0,1.0
160,当艾来敲门,0,0,0,0,0,1.0
161,BoTakWong,0,0,0,0,0,1.0
162,TaTaG,0,0,0,0,0,1.0
163,Morgana_5,0,0,0,0,0,1.0
164,Jshiro,0,0,1,1,0,1.0
165,進擊的暖寶寶-T_T,0,0,0,0,0,1.0
166,不爱发博王左军,0,0,0,0,0,1.0
167,-夫_子-,1,1,0,0,0,2.0
168,Tom同学哈哈哈,1,0,0,0,0,1.0
169,粗超人,0,0,0,0,0,1.0
170,夏天小熊猫_,0,0,0,0,0,1.0
171,剪不动了,0,0,0,0,0,1.0
172,我不是蛐蛐,0,0,0,0,0,1.0
173,桃黑亭,0,0,0,0,0,1.0
174,suuji,0,0,0,0,0,1.0
175,暂时冧唔到冧到话你知,0,0,0,0,0,1.0
176,Yama丶M,0,0,0,0,0,1.0
177,这是小孟呀,0,0,0,0,0,1.0
178,猴猴我啊想飞,0,0,0,0,0,1.0
179,M_Flamenco,0,0,0,0,0,1.0
180,黑暗福音,0,0,0,0,0,1.0
181,喵喵喵喵小靓,0,0,0,0,0,1.0
182,此人核无趣,0,0,1,1,0,1.0
183,天意如此Eling,0,0,0,0,0,1.0
184,芙拉_flouri,0,0,1,0,0,1.0
185,快点多谢甘楽哥啦,0,0,0,0,0,1.0
186,DDDDDlno,0,0,0,1,1,4.0
187,不可思尹_,1,0,0,0,0,1.0
188,七夜菌绝赞社畜中,0,0,0,0,0,1.0
189,ablettshb,0,0,0,0,0,1.0
190,还是喜欢七只假爱豆,0,0,0,0,0,1.0
191,亚拉里亚拉亚拉熊,0,0,0,0,0,1.0
192,月司元,0,0,0,0,0,1.0
193,非洲煤球部落酋长叁,0,0,0,0,0,1.0
194,小桃子么,0,0,0,0,0,1.0
195,我们没文化的人就是这样的,0,0,0,0,0,1.0
