F_UserName,User_nIdx,F_Comment,conad,guide,cola,ocgnn,dmgd
祎只狸猫,2795,考古,1,0,0,0,0
邮一棵草莓i,2790,来考古了，怎么说，知道以前原神舆论正义很大，但亲眼看到前面的评论才能有点真实感觉到当时有多难,0,0,0,1,0
kmimg7,2789,真不知道迅哥给评论区投了多少米？[允悲][doge],0,0,0,0,0
小祀弟弟吖,2783,入坑很晚想来看看之前的pv，这么多骂抄袭的吗？一开始这么难吗[泪],0,0,0,0,0
不知道如何评价,2792,[吃瓜]现在是2023年 回来考古的点个赞,0,0,0,0,0
Tawil-at_Umr,2276,考古,0,0,0,0,0
我原来就是小黑子,1292,就搞不懂了，怎么有些人这么愤世嫉俗[doge]那他平日得有多大成就啊[泪],1,0,0,1,0
花月歌浮舟,2797,考古结束 ,0,0,0,0,0
罗小黑本喵_,1981,Windows 11“狗都不用”时代前来考古[doge],0,1,1,0,1
罗小黑本喵_,1981,阿伟你又在翻看古战场诶 休息一下吧[doge],0,1,1,0,1
沐北零,2334,卧槽，这时候就有绫华了！？,0,0,0,0,0
136658305jkly,980,我就是米卫兵，原神没抄袭,0,0,0,0,0
136658305jkly,980,就是就是,0,0,0,0,0
c跳跳呀,1337,回来看看梦开始的地方,0,0,0,0,0
浦镇做题家,2774,3年了 3年,0,0,0,0,0
逗你逗你2014,1389,考古,0,0,0,0,0
寂月海200007,2798,参观古战场[666],0,0,0,0,0
iYaF-,487,神里不愧是亲女儿[允悲]回来看看就热评打脸现场,0,0,0,0,0
阿七有病b,2788,底下骂抄袭的，我来扫墓啦[打call][打call],0,0,0,1,0
派大星变美乃滋,1400,考古[鲜花],1,0,0,1,0
亚修·,1883,继续考古，温迪！万叶！你们快来吧！,1,0,0,0,1
亚修·,1883,2021年8月13日报道，我想说原神真的很好玩，会做的越来越好的，加油！,1,0,0,0,1
EJoachim,2793,前来考古，2022.3.5，原神加油，米哈游加油！,1,0,0,0,0
EJoachim,2793,你要相信米哈游的实力[打call][打call]，我来自2022.3.5，他们已经在计划研究可控核聚变了，如果成功的话就是造福人类级别的贡献。,1,0,0,0,0
盛夏遲暮澤,2132,我惊了，这么早就把神里绫华放出来了？[二哈][二哈],1,0,0,0,0
盛夏薇澜,107,希望原神越来越好,1,0,0,0,0
品咕咕,1908,那些热评的没妈仔怎么还在啊[doge],0,0,0,0,0
慕夏明黎,2787,评论区真有趣[doge],1,0,0,1,0
慕夏明黎,2787,[喵喵],1,0,0,1,0
温迪大人没有在摸鱼,2615,原来神里大小姐这么早就出现在pv里了,0,0,0,0,0
喜欢你的木乃伊,1942,加油[喵喵],1,0,0,0,0
AlanTuringfan_vcfake,2770,回头来看，热评哈哈哈哈哈哈哈哈哈,0,0,0,0,0
提尔乌斯,1,加油(ง •̀_•́)ง！！！,0,0,0,1,1
提尔乌斯,1,加油！期待！,0,0,0,1,1
提尔乌斯,1,加油米哈游，期待原神的公测[鼓掌][鼓掌],0,0,0,1,1
提尔乌斯,1,加油米哈游，期待能有好玩的新作[哈哈]！希望你们不要让我们失望啊[赞]！,0,0,0,1,1
东京最慢传说被毒死的土豆服务器,2295,求大伟哥给个资格,0,0,0,0,0
原神忠粉,2170,作为米哈游科技（上海）有限公司制作发行的一款开放世界冒险游戏，画面风格精致富有美感，是一款自由度很高的手游大作，我真心想获得本次测试，也会抓住每一个机会，我会努力争取的！[太开心]  旅行者，安柏，凯亚，琴，丽莎，芭芭拉，到时候一定与你们结友！共度时光  加油！#原神#,0,1,1,0,1
蠢萌萌66,2775,可恶的米忽悠，出这么个游戏，估计又要换一部手机,0,0,1,0,0
蠢萌萌66,2775,律师函都没有，原神都成功登录ns了，就不要在这嗷嗷叫了,0,0,1,0,0
蠢萌萌66,2775,都半年了，任天堂都接受原神登录ns，这帮抄袭警察还嗷嗷叫着原神抄袭，自己丢脸丢到国外，还觉得自己是正义的,0,0,1,0,0
DodLIke刂兆,1692,等私信  ,1,0,0,0,0
wangxorz,1270,  来个测试资格吧[二哈],0,0,0,0,0
港莲湾居士,2777,明显的有人带节奏...守望先锋被抄没人闹，吃鸡基本全民的游戏网易抄袭也不见有人当正义使者，然后我睡一觉起来全中国就我一个人没玩过塞尔达了（转载的）,0,0,0,1,0
葱花不开花,2456,  嘿嘿，栗子大大出来装个好友帮个忙[太开心][太开心],0,0,0,0,0
马甲49056,2682,原神登录NS了，要不再来个暴躁大哥砸个NS助助兴?[doge][吃瓜],0,0,0,0,0
skytree百沫,2068,塞尔达120神庙全通，明天cj我就不去了，怕认错……等等！他们是同一个展台了？[吃瓜][吃瓜][吃瓜],0,0,0,0,0
连哄带蒙不要脸,332,黑暗，真的太黑暗了,0,0,0,0,1
连哄带蒙不要脸,332,感谢，米哈游，让我在手机上玩到了塞尔达如此优秀的作品，我希望你们可以再接再厉，让我可以在手机上玩到任天堂大乱斗，谢谢,0,0,0,0,1
印第安老斑鳩鳩,669,去年买了个表,0,0,0,0,0
血腥来袭2018,2514,笑到肚子疼,0,0,0,0,0
非洲雷姆,2648,原神登录ns了，现在看这些评论真的好笑,0,0,0,0,1
非洲雷姆,2648,你行你上,0,0,0,0,1
sven1207,2645,什么时候才能玩啊，怎么今年一点消息都没,0,0,0,0,1
sven1207,2645,什么时候公测啊，等不及了,0,0,0,0,1
晨夌,2271,待启二测,0,0,0,0,0
沙雕乌龙茶茶,2608,好好解决你们抄袭的问题吧，我可不想游戏没出来就先别搞死了[可爱],0,0,0,0,0
墨染无颜,2776,到底什么时候公测呢,0,0,0,0,0
RAOOOOOO豹,846,抄袭,0,0,1,1,0
咦我昵称哪去了,1570,  ,0,0,1,0,0
Eternal心晗11203,2674,米哈游加油＾０＾~,0,0,0,0,0
#NAME?,2374,为什么不送switch和塞尔达？,0,0,0,0,0
猫某人f,2397,加油啊,0,0,0,0,1
猫某人f,2397,开服啊！！！直接648,0,0,0,0,1
养老养老没头发了,2771,什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线,0,0,0,0,0
快乐少年亚索,1459,老抽奖，放点干货瞧瞧啊[悲伤],0,0,0,0,1
快乐少年亚索,1459,留个言，冒个泡，话说粉丝有点少,0,0,0,0,1
北原滝,2220,呜呜呜呜,0,0,0,0,0
红鲤鱼与绿鲤鱼与驴--233,1561,啥时候ps4平台测试啊[悲伤],0,0,0,0,0
星空下的特图,2725,让一让，我拖个地[doge],0,0,0,0,0
凉宫呆唯,2583,混蛋啥时候二测，记得给我个资格，啊啊啊,0,0,0,0,0
废宅臭打游戏的不会懂人间温柔,1305,牛逼！塞尔达明目张胆的抄袭我们国产游戏！任天堂过分了啊！我明天就把我的switch皮卡丘限定机子砸了！说不定皮卡丘就是抄袭我国优良手游的！,0,0,0,0,0
柳小枫666,1696,所以说，你到底什么时候公测,0,0,0,0,0
幽远tom,1784,支持原神，加油！[憧憬],0,0,0,1,0
乐酷烤鱼Lucky,2458,赶紧出吧，[可怜],0,0,0,0,0
猪屁味冬瓜茶,2545,微博果然是中国战狼集聚地[鼓掌][鼓掌],0,0,0,1,0
让我成为自己的锚,15,5812条评论,0,0,0,0,1
