F_Idx,F_CommID,F_Time,F_UserID,F_UserName,F_Comment,T_Idx,T_UserID,T_UserName,T_CommID,T_Time,T_Comment,Floor_Idx,Floor_CommID,Floor_UserID
7,4842368296289558,2022-12-02 23:13:51+08:00,7752939212,花月歌浮舟,考古结束@Akoi,,,,,,,,,
45,4481688375200938,2020-03-12 16:20:37+08:00,6153913596,原神忠粉,作为米哈游科技（上海）有限公司制作发行的一款开放世界冒险游戏，画面风格精致富有美感，是一款自由度很高的手游大作，我真心想获得本次测试，也会抓住每一个机会，我会努力争取的！[太开心]@原神 旅行者，安柏，凯亚，琴，丽莎，芭芭拉，到时候一定与你们结友！共度时光@微博抽奖平台 加油！#原神#,,,,,,,,,
47,4461401621863634,2020-01-16 16:48:17+08:00,5648392127,DodLIke刂兆,等私信@_恭弥大人_ ,,,,,,,,,
48,4461395208773600,2020-01-16 16:22:48+08:00,5210165672,wangxorz,@b1gcatttttttttt 来个测试资格吧[二哈],,,,,,,,,
53,4460756835567135,2020-01-14 22:06:08+08:00,6555427619,葱花不开花,@相生栗子 嘿嘿，栗子大大出来装个好友帮个忙[太开心][太开心],,,,,,,,,
74,4456130040057386,2020-01-02 03:40:54+08:00,5539462903,咦我昵称哪去了,@焱瞮 ,,,,,,,,,
111,4435939457602011,2019-11-07 10:30:45+08:00,5283513157,圈圈喵酱,@鹿凛sama [鼓掌],,,,,,,,,
113,4435615460101874,2019-11-06 13:03:17+08:00,5675516293,古韵流年5675516293,想要内测资格@原神,,,,,,,,,
121,4432458113942887,2019-10-28 19:57:08+08:00,6579588661,YZM27368,在，给个内测码？@原神 [悲伤],,,,,,,,,
123,4431210417394833,2019-10-25 09:19:14+08:00,1954202467,少女不到80斤,@像风雨像空气,,,,,,,,,
144,4419728204010603,2019-09-23 16:53:01+08:00,1825795330,OoooneDay,@李三辣 到时候玩这个游戏，虽然是抄袭的,,,,,,,,,
152,4416882087892965,2019-09-15 20:23:33+08:00,5772842621,没头脑吔不高兴,@青青子w miHoYo！,,,,,,,,,
162,4412811423421675,2019-09-04 14:48:12+08:00,2794810450,为昵感动,@有妖气原创漫画梦工厂,,,,,,,,,
167,4412477502189067,2019-09-03 16:41:19+08:00,3214933532,AirBrighton,我只想问一句，什么时候pc可以玩？？？？@原神,,,,,,,,,
173,4409014143951217,2019-08-25 03:19:09+08:00,1843210225,你好鬼厉先生,@小星空吃土豆 这一天终于还是来了,,,,,,,,,
253,4402956638484275,2019-08-08 10:08:47+08:00,7193476268,TheXgoisw,@卧栏听风笛 ,,,,,,,,,
259,4402729810043773,2019-08-07 19:07:27+08:00,2101486991,小叻ROKA,@木愈myu ,,,,,,,,,
305,4401969973964848,2019-08-05 16:48:09+08:00,2925673401,煎饼的红领巾更鲜艳了,@贫贱居士 来看看有多不要脸,,,,,,,,,
379,4401346599659944,2019-08-03 23:31:05+08:00,3070906945,糖葫芦不酸吖,@大师不正经,,,,,,,,,
441,4400838422209750,2019-08-02 13:51:45+08:00,6591059493,元气燃烧卡路里,@森森核桃喵  游戏全网抵制真的运行的下去？？？,,,,,,,,,
442,4400833602980808,2019-08-02 13:32:37+08:00,2106512904,Chersan_,@陈消沉_,,,,,,,,,
456,4400767370611068,2019-08-02 09:09:25+08:00,2821339101,Vincent___威少,@如果告别-能不能再见 ,,,,,,,,,
461,4400649288530821,2019-08-02 01:20:13+08:00,5568129289,lucks00,@善良伊峙总司1994,,,,,,,,,
477,4399443472063926,2019-07-29 17:28:44+08:00,5494024081,vic豹,@阿千我是阿昭啊 谢谢老板[二哈],,,,,,,,,
494,4395673380112938,2019-07-19 07:47:44+08:00,7244535214,米卫兵没有马76320,米💂 没有🐴 尤其是@芒种Quarz,,,,,,,,,
495,4395670939521018,2019-07-19 07:38:02+08:00,7244535214,米卫兵没有马76320,害 我是真的服辣 米💂 属实可怕 偷图强行给自己找牌面  我玩过塞尔达传说黄昏公主直到野炊熬 我玩过鬼泣345熬 我玩过AC全系列熬 一张从复苏神庙刚出来的图这是玩过？一张毫无意义的鬼泣5截图 明眼人一看就是偷的图 我服辣@芒种Quarz,,,,,,,,,
511,4393958886685163,2019-07-14 14:14:56+08:00,6303805076,青春纪念12138,@happiNess車學沇資源博,,,,,,,,,
513,4393703931728034,2019-07-13 21:21:51+08:00,5508723797,_Drm丶梦想,啥时候出。@种草小妲己,,,,,,,,,
549,4389613856242490,2019-07-02 14:29:21+08:00,5542376338,神女控5542376338,@原神 期待安卓开测,,,,,,,,,
571,4388105526132239,2019-06-28 10:35:46+08:00,5586443278,善良温柔又纯洁的鹤叔叔,@我还不想长大 已经完全不要脸了,,,,,,,,,
581,4387818522059909,2019-06-27 15:35:20+08:00,3070100823,兵长死面瘫,@任天堂香港有限公司,,,,,,,,,
596,4387435704432584,2019-06-26 14:14:09+08:00,5087327598,卡卡西的白毛浮绿水,@任天堂香港有限公司,,,,,,,,,
620,4387156300480401,2019-06-25 19:43:53+08:00,5701857916,白雨幽花松间露,@bilibili菜鸡桌子 [doge],,,,,,,,,
642,4386930969586156,2019-06-25 04:48:31+08:00,2860185212,hoshif_星风,@艾梦诗同学,,,,,,,,,
654,4386772458629712,2019-06-24 18:18:39+08:00,1837149322,Sapphire_Dias_Phoenix,@任天堂香港有限公司 这家米哈游做的原神的美术风格及各种要素几乎抄袭贵公司的塞尔达，麻烦处理一下,,,,,,,,,
662,4386718981104715,2019-06-24 14:46:08+08:00,6409281433,啪la啪la芃,@大橙子行_天下 ,,,,,,,,,
672,4386659594055858,2019-06-24 10:50:10+08:00,2615810545,伊晗韵poi,[doge]观望中，失望归失望  奖还是要抽的，万一中了呢@撩人的胖大海,,,,,,,,,
680,4386519873435680,2019-06-24 01:34:57+08:00,7160170237,盐煮菠萝,@任天堂香港有限公司,,,,,,,,,
