F_UserName,User_nIdx,F_Comment,Comment_nIdx
祎只狸猫,2795,考古,0
邮一棵草莓i,2790,来考古了，怎么说，知道以前原神舆论正义很大，但亲眼看到前面的评论才能有点真实感觉到当时有多难,1
kmimg7,2789,真不知道迅哥给评论区投了多少米？[允悲][doge],2
小祀弟弟吖,2783,入坑很晚想来看看之前的pv，这么多骂抄袭的吗？一开始这么难吗[泪],3
不知道如何评价,2792,[吃瓜]现在是2023年 回来考古的点个赞,4
Tawil-at_Umr,2276,考古,5
我原来就是小黑子,1292,就搞不懂了，怎么有些人这么愤世嫉俗[doge]那他平日得有多大成就啊[泪],6
花月歌浮舟,2797,考古结束 ,7
罗小黑本喵_,1981,Windows 11“狗都不用”时代前来考古[doge],8
沐北零,2334,卧槽，这时候就有绫华了！？,9
136658305jkly,980,我就是米卫兵，原神没抄袭,10
c跳跳呀,1337,回来看看梦开始的地方,11
浦镇做题家,2774,3年了 3年,12
逗你逗你2014,1389,考古,13
寂月海200007,2798,参观古战场[666],14
iYaF-,487,神里不愧是亲女儿[允悲]回来看看就热评打脸现场,15
阿七有病b,2788,底下骂抄袭的，我来扫墓啦[打call][打call],16
派大星变美乃滋,1400,考古[鲜花],17
亚修·,1883,继续考古，温迪！万叶！你们快来吧！,18
EJoachim,2793,前来考古，2022.3.5，原神加油，米哈游加油！,19
盛夏遲暮澤,2132,我惊了，这么早就把神里绫华放出来了？[二哈][二哈],20
盛夏薇澜,107,希望原神越来越好,21
品咕咕,1908,那些热评的没妈仔怎么还在啊[doge],22
慕夏明黎,2787,评论区真有趣[doge],23
温迪大人没有在摸鱼,2615,原来神里大小姐这么早就出现在pv里了,24
喜欢你的木乃伊,1942,加油[喵喵],25
亚修·,1883,2021年8月13日报道，我想说原神真的很好玩，会做的越来越好的，加油！,26
AlanTuringfan_vcfake,2770,回头来看，热评哈哈哈哈哈哈哈哈哈,27
提尔乌斯,1,加油(ง •̀_•́)ง！！！,28
东京最慢传说被毒死的土豆服务器,2295,求大伟哥给个资格,29
原神忠粉,2170,作为米哈游科技（上海）有限公司制作发行的一款开放世界冒险游戏，画面风格精致富有美感，是一款自由度很高的手游大作，我真心想获得本次测试，也会抓住每一个机会，我会努力争取的！[太开心]  旅行者，安柏，凯亚，琴，丽莎，芭芭拉，到时候一定与你们结友！共度时光  加油！#原神#,30
蠢萌萌66,2775,可恶的米忽悠，出这么个游戏，估计又要换一部手机,31
DodLIke刂兆,1692,等私信  ,32
wangxorz,1270,  来个测试资格吧[二哈],33
港莲湾居士,2777,明显的有人带节奏...守望先锋被抄没人闹，吃鸡基本全民的游戏网易抄袭也不见有人当正义使者，然后我睡一觉起来全中国就我一个人没玩过塞尔达了（转载的）,34
葱花不开花,2456,  嘿嘿，栗子大大出来装个好友帮个忙[太开心][太开心],35
马甲49056,2682,原神登录NS了，要不再来个暴躁大哥砸个NS助助兴?[doge][吃瓜],36
skytree百沫,2068,塞尔达120神庙全通，明天cj我就不去了，怕认错……等等！他们是同一个展台了？[吃瓜][吃瓜][吃瓜],37
连哄带蒙不要脸,332,黑暗，真的太黑暗了,38
印第安老斑鳩鳩,669,去年买了个表,39
血腥来袭2018,2514,笑到肚子疼,40
非洲雷姆,2648,原神登录ns了，现在看这些评论真的好笑,41
sven1207,2645,什么时候才能玩啊，怎么今年一点消息都没,42
晨夌,2271,待启二测,43
沙雕乌龙茶茶,2608,好好解决你们抄袭的问题吧，我可不想游戏没出来就先别搞死了[可爱],44
墨染无颜,2776,到底什么时候公测呢,45
RAOOOOOO豹,846,抄袭,46
咦我昵称哪去了,1570,  ,47
