Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,Vip
1.0,17.0,2.0,1.0,30.0,56.0,692.0,0.0,0.0,0.0
1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,11.0,1.0,1.0,917.0,1109.0,2013.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,13.0,59.0,9.0,0.0,0.0,0.0
1.0,10.0,0.0,1.0,14.0,34.0,107.0,0.0,1.0,0.0
1.0,8.0,0.0,0.0,403.0,1436.0,7101.0,1.0,1.0,1.0
1.0,12.0,0.0,1.0,36.0,146.0,30.0,0.0,0.0,0.0
1.0,5.0,0.0,1.0,1145.0,377.0,4991.0,0.0,0.0,0.0
1.0,3.0,1.0,1.0,352.0,1344.0,4089.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,199.0,290.0,553.0,0.0,0.0,0.0
1.0,4.0,0.0,1.0,93.0,178.0,261.0,0.0,0.0,0.0
1.0,8.0,2.0,1.0,778.0,980.0,9.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,319.0,901.0,1009.0,0.0,0.0,0.0
1.0,17.0,3.0,1.0,272.0,4944.0,6101.0,0.0,0.0,0.0
1.0,4.0,0.0,1.0,283.0,487.0,336.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,102.0,352.0,700.0,0.0,0.0,0.0
1.0,8.0,0.0,1.0,1552.0,2459.0,4235.0,0.0,0.0,0.0
1.0,15.0,4.0,0.0,183.0,296.0,9500.0,0.0,0.0,0.0
1.0,21.0,1.0,1.0,115.0,265.0,199.0,0.0,0.0,0.0
1.0,7.0,2.0,1.0,56.0,44.0,394.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,24.0,99.0,609.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,88.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,49.0,178.0,41.0,0.0,0.0,0.0
1.0,8.0,8.0,0.0,421.0,636.0,9639.0,0.0,0.0,0.0
1.0,6.0,1.0,1.0,193.0,197.0,1075.0,0.0,0.0,1.0
1.0,5.0,0.0,0.0,2427.0,674.0,7361.0,0.0,0.0,0.0
1.0,7.0,5.0,0.0,1156.0,1253.0,6383.0,0.0,0.0,1.0
1.0,4.0,1.0,1.0,48.0,249.0,375.0,0.0,0.0,0.0
1.0,7.0,0.0,1.0,36.0,41.0,143.0,0.0,0.0,0.0
