Epoch,Loss,Learning_rate
0,-1009.0474243164062,0.001
9,-1102.8939208984375,0.001
19,-1126.3001708984375,0.001
29,-1141.7568359375,0.001
39,-1152.953857421875,0.001
49,-1160.1239013671875,0.001
59,-1167.849609375,0.001
69,-1176.371826171875,0.001
79,-1183.12109375,0.001
89,-1191.0069580078125,0.001
99,-1196.5147705078125,0.001
109,-1202.2154541015625,0.001
119,-1210.8988037109375,0.001
129,-1216.759521484375,0.001
139,-1226.1556396484375,0.001
149,-1234.6514892578125,0.001
159,-1238.2208251953125,0.001
169,-1249.2032470703125,0.001
179,-1256.7744140625,0.001
189,-1263.4539794921875,0.001
199,-1272.01416015625,0.001
