F_UserName,User_nIdx,F_Comment,Label,TextLen
我原来就是小黑子,1292,就搞不懂了，怎么有些人这么愤世嫉俗[doge]那他平日得有多大成就啊[泪],1.0,37
罗小黑本喵_,1981,Windows 11“狗都不用”时代前来考古[doge],1.0,28
罗小黑本喵_,1981,阿伟你又在翻看古战场诶 休息一下吧[doge],1.0,23
iYaF-,487,神里不愧是亲女儿[允悲]回来看看就热评打脸现场,1.0,23
阿七有病b,2788,底下骂抄袭的，我来扫墓啦[打call][打call],1.0,26
派大星变美乃滋,1400,考古[鲜花],1.0,6
慕夏明黎,2787,评论区真有趣[doge],1.0,12
慕夏明黎,2787,[喵喵],1.0,4
温迪大人没有在摸鱼,2615,原来神里大小姐这么早就出现在pv里了,1.0,18
提尔乌斯,1,加油(ง •̀_•́)ง！！！,1.0,15
提尔乌斯,1,加油！期待！,1.0,6
提尔乌斯,1,加油米哈游，期待原神的公测[鼓掌][鼓掌],1.0,21
提尔乌斯,1,加油米哈游，期待能有好玩的新作[哈哈]！希望你们不要让我们失望啊[赞]！,1.0,36
东京最慢传说被毒死的土豆服务器,2295,求大伟哥给个资格,1.0,8
港莲湾居士,2777,明显的有人带节奏...守望先锋被抄没人闹，吃鸡基本全民的游戏网易抄袭也不见有人当正义使者，然后我睡一觉起来全中国就我一个人没玩过塞尔达了（转载的）,1.0,73
skytree百沫,2068,塞尔达120神庙全通，明天cj我就不去了，怕认错……等等！他们是同一个展台了？[吃瓜][吃瓜][吃瓜],1.0,51
RAOOOOOO豹,846,抄袭,1.0,2
猫某人f,2397,加油啊,1.0,3
猫某人f,2397,开服啊！！！直接648,1.0,11
北原滝,2220,呜呜呜呜,1.0,4
红鲤鱼与绿鲤鱼与驴--233,1561,啥时候ps4平台测试啊[悲伤],1.0,15
星空下的特图,2725,让一让，我拖个地[doge],1.0,14
废宅臭打游戏的不会懂人间温柔,1305,牛逼！塞尔达明目张胆的抄袭我们国产游戏！任天堂过分了啊！我明天就把我的ns皮卡丘限定机子砸了！说不定皮卡丘就是抄袭我国优良手游的！,1.0,65
幽远tom,1784,支持原神，加油！[憧憬],1.0,12
乐酷烤鱼Lucky,2458,赶紧出吧，[可怜],1.0,9
猪屁味冬瓜茶,2545,微博果然是中国战狼集聚地[鼓掌][鼓掌],1.0,20
苟殉,1745,期待，什么时候出成品游玩啊,1.0,13
卖火柴的小男孩9160,1691,这不是塞尔达吗,1.0,7
可怕的喵2333,1273,米哈游加油，原神要做好啊，明年一定玩,1.0,18
可怕的喵2333,1273,我觉得一些辣眼睛的线上喷子才是癌，还是急性癌，在线上，您高贵，您能喷，动不动就让别人死妈。干货拿不出来，怼不过就喷，人家也没有求着让你玩，你想举报就举报，想跟风就跟风，想带节奏就带节奏，想恰烂钱就恰烂钱，别在评论区哔哔赖赖，早饭都要吐出来了。,1.0,121
可怕的喵2333,1273,您高贵，您配，行了吧,1.0,10
身在人间的阿叶,2769,加油！,1.0,3
身在人间的阿叶,2769,抽个奖加1,1.0,5
小朱老師有墨水,856,什么时候公测？,1.0,7
有一种云vvv,1151,太黑暗了,1.0,4
晚喵L,2767,爱了,1.0,2
真呼名子,368,[好崇拜哦],1.0,6
