Epoch,Loss,Learning_rate
0,-922.8291625976562,0.001
9,-963.9701538085938,0.001
19,-987.7122802734375,0.001
29,-1007.0240478515625,0.001
39,-1030.8880615234375,0.001
49,-1041.834228515625,0.001
59,-1057.3016357421875,0.001
69,-1069.4400634765625,0.001
79,-1082.1109619140625,0.001
89,-1087.115478515625,0.001
99,-1094.8343505859375,0.001
109,-1102.1043701171875,0.001
119,-1110.3778076171875,0.001
129,-1118.8543701171875,0.001
139,-1127.1846923828125,0.001
149,-1133.2900390625,0.001
159,-1141.982177734375,0.001
169,-1146.265869140625,0.001
179,-1154.758056640625,0.001
189,-1157.507568359375,0.001
199,-1167.9984130859375,0.001
