F_UserName,User_nIdx,F_Comment,Label,TextLen
花月歌浮舟,2797,考古结束 ,0.0,5
罗小黑本喵_,1981,Windows 11“狗都不用”时代前来考古[doge],0.0,28
罗小黑本喵_,1981,阿伟你又在翻看古战场诶 休息一下吧[doge],0.0,23
派大星变美乃滋,1400,考古[鲜花],0.0,6
盛夏遲暮澤,2132,我惊了，这么早就把神里绫华放出来了？[二哈][二哈],0.0,26
慕夏明黎,2787,评论区真有趣[doge],0.0,12
慕夏明黎,2787,[喵喵],0.0,4
原神忠粉,2170,作为米哈游科技（上海）有限公司制作发行的一款开放世界冒险游戏，画面风格精致富有美感，是一款自由度很高的手游大作，我真心想获得本次测试，也会抓住每一个机会，我会努力争取的！[太开心]  旅行者，安柏，凯亚，琴，丽莎，芭芭拉，到时候一定与你们结友！共度时光  加油！#原神#,0.0,135
蠢萌萌66,2775,可恶的米哈游，出这么个游戏，估计又要换一部手机,0.0,23
蠢萌萌66,2775,律师函都没有，原神都成功登录ns了，就不要在这嗷嗷叫了,0.0,27
蠢萌萌66,2775,都半年了，任天堂都接受原神登录ns，这帮抄袭警察还嗷嗷叫着原神抄袭，自己丢脸丢到国外，还觉得自己是正义的,0.0,52
DodLIke刂兆,1692,等私信  ,0.0,5
wangxorz,1270,  来个测试资格吧[二哈],0.0,13
葱花不开花,2456,  嘿嘿，栗子大大出来装个好友帮个忙[太开心][太开心],0.0,28
咦我昵称哪去了,1570,  ,0.0,2
圈圈喵酱,1321,  [鼓掌],0.0,6
古韵流年5675516293,1743,想要内测资格 ,0.0,7
YZM27368,2480,在，给个内测码？  [悲伤],0.0,14
少女不到80斤,378, ,0.0,1
OoooneDay,260,  到时候玩这个游戏，虽然是抄袭的,0.0,17
没头脑吔不高兴,1842,  米哈游！,0.0,6
为昵感动,769, ,0.0,1
AirBrighton,952,我只想问一句，什么时候pc可以玩？？？？ ,0.0,21
你好鬼厉先生,278,  这一天终于还是来了,0.0,11
万里的追寻者41043,2594,啥时候公测啊[允悲],0.0,10
万里的追寻者41043,2594,真是太黑暗了啊[笑而不语],0.0,13
万里的追寻者41043,2594,都是ns的游戏确实可以有啊[doge],0.0,19
万里的追寻者41043,2594,都三个月过去了，竟然还有还有这种人，真是吃饱了撑着没事做。[吐],0.0,32
万里的追寻者41043,2594,抱歉，因为这事我对原神非常非常看好，真的，原神很可能改变国产游戏换皮的坏风气!,0.0,39
万里的追寻者41043,2594,终于碰见正常人了啊[允悲],0.0,13
万里的追寻者41043,2594,我也不知道,0.0,5
万里的追寻者41043,2594,凉?你真的想多了，现在原神热度不是一般的高[笑cry],0.0,27
万里的追寻者41043,2594,时间会证明一切，到时候等公测在看看实际情况。,0.0,22
万里的追寻者41043,2594,希望您别听风就是雨,0.0,9
万里的追寻者41043,2594,抄不抄袭不是一位微博博主写篇文章把自己主观感受写上去就能认定是抄袭的，到现在为止没有任何证据能石锤抄袭，只有那些人口嗨罢了。,0.0,62
万里的追寻者41043,2594,还没公测就说垃圾?[挖鼻],0.0,13
万里的追寻者41043,2594,你要是支持那个砸ps4丟人丟到外国去的人的话，那我也没法说什么了。,0.0,33
万里的追寻者41043,2594,拜托，抄袭这事情到现在你还不知道是假的吗。。。如果真的你觉得原神能活到现在，任天堂能不去告?都已经过去两个月了啊老哥。,0.0,59
万里的追寻者41043,2594,抄袭现在已经被否定了，别谁便更风行吗[黑线],0.0,22
万里的追寻者41043,2594,毕竟现在明理的人都知道原神并没有抄袭,0.0,18
万里的追寻者41043,2594,你去看看原神游戏评分已经从原来的四分涨到六分了，评分一星和五星五五开[笑而不语][笑cry],0.0,46
万里的追寻者41043,2594,而且自从tx自爆后好多人开始看清形式了,0.0,19
万里的追寻者41043,2594,现在也就微博这边惨了，其他地方形式开始逆转了[笑而不语],0.0,28
万里的追寻者41043,2594,难得一见,0.0,4
万里的追寻者41043,2594,虚的话，索尼能把原神放c位,0.0,13
万里的追寻者41043,2594,抽个奖吧，评论区看不下去了,0.0,13
万里的追寻者41043,2594,复制粘贴?,0.0,5
万里的追寻者41043,2594,地图炮开的真爽啊你,0.0,9
万里的追寻者41043,2594,到底谁的名声变臭，现在还不知道呢[笑而不语],0.0,22
