Label,D1,D2
4.0,-29.792011,58.523743
0.0,4.791081,72.73611
4.0,6.311199,17.257778
0.0,80.78851,43.397263
4.0,-10.394442,74.441864
4.0,-35.19279,-24.956484
4.0,19.451607,51.10835
4.0,28.238386,7.343364
4.0,18.402626,-3.890314
0.0,-84.419876,30.956665
0.0,11.897461,61.184696
4.0,-23.97877,78.98488
0.0,-50.89102,48.55828
3.0,-64.45578,-17.146574
4.0,41.859783,23.954592
4.0,-34.7336,-64.1861
4.0,8.883223,-8.429827
4.0,-21.296175,-36.90863
4.0,-5.7624154,50.889553
4.0,-39.234043,87.05789
0.0,54.529728,-21.163467
0.0,11.66513,-81.6777
0.0,43.226883,-33.65682
2.0,-55.352554,-3.418064
4.0,-11.301304,6.265172
4.0,-40.78606,-51.339737
4.0,-57.361794,-6.167508
4.0,19.805796,-29.822199
4.0,49.85187,71.260704
4.0,-20.336449,-68.373375
4.0,7.7567267,-69.28901
4.0,8.239956,-6.0881863
4.0,-30.715382,-51.776836
4.0,28.896296,23.89018
4.0,7.6796536,35.32493
0.0,-83.627495,48.019463
4.0,-11.242781,2.8988192
4.0,-1.0479659,7.3346534
4.0,26.817987,-40.742424
0.0,-55.783104,64.79786
0.0,44.474384,4.7907977
4.0,7.0858154,-17.419262
2.0,-21.627699,35.340263
0.0,112.844246,10.842071
2.0,-51.445557,31.181236
2.0,-48.744946,24.865498
4.0,-41.130013,-21.196802
4.0,26.480669,-5.5519104
0.0,26.104538,88.82807
0.0,-75.79049,33.241848
4.0,15.919327,15.250659
0.0,-66.44963,14.434096
4.0,-3.3998184,-14.434398
4.0,-40.77027,-61.15593
0.0,-84.64207,31.655836
4.0,0.018295806,8.613619
3.0,-77.05059,-5.221283
0.0,39.778397,-77.49314
4.0,-0.9301726,-2.9401374
4.0,-11.211432,-13.027666
4.0,14.54066,23.565933
4.0,-14.0368595,-33.236866
4.0,19.551191,-21.480753
4.0,-19.374908,-70.6621
4.0,25.634933,28.23536
4.0,15.8580675,43.79268
4.0,-20.681843,35.706196
4.0,33.92885,52.429127
0.0,10.995087,61.502426
4.0,-22.049711,-24.855406
4.0,-38.459267,-61.212666
0.0,53.028805,35.49954
4.0,-17.720533,-66.71515
4.0,-59.471703,-28.918179
2.0,-33.031,27.442085
0.0,-54.860867,60.537033
4.0,21.661173,73.11705
0.0,-67.82601,16.240767
0.0,62.88054,-8.9371
4.0,15.823872,-40.10372
4.0,-0.8075511,-2.8583047
4.0,22.47909,-45.95249
4.0,19.474092,-28.639677
4.0,-23.85059,55.585266
0.0,-69.40072,31.734247
0.0,-55.76807,63.683052
0.0,-73.50616,-58.368782
4.0,9.446754,10.362318
4.0,-28.32455,-71.535774
2.0,-56.541348,6.2677503
0.0,-20.267542,102.47636
2.0,-41.835342,8.1587
4.0,5.3543134,-2.2477183
4.0,-6.6138406,74.64761
0.0,73.706055,-10.213028
4.0,-64.40315,-23.33742
0.0,34.5593,-29.0487
4.0,16.949873,9.2381935
4.0,-11.969975,-9.136791
4.0,-16.498047,33.56887
4.0,20.452637,-43.735966
4.0,-29.257223,59.15671
4.0,-10.316744,-9.663528
4.0,19.821926,67.10093
2.0,-35.642536,40.78363
2.0,-32.70023,43.738167
4.0,-28.47361,-71.45537
0.0,-21.43921,102.72851
0.0,76.7002,4.40412
4.0,-14.571003,35.711517
0.0,-84.93905,32.90997
4.0,11.332533,-4.6144238
4.0,-34.01333,73.65857
4.0,-34.478264,2.390742
0.0,-98.15166,-3.1485946
4.0,-29.69188,42.59092
0.0,-67.69939,45.46996
4.0,0.39409557,2.2105443
2.0,-40.485077,30.322119
0.0,-65.3094,45.09865
2.0,-40.767403,17.093367
0.0,-53.634293,42.631775
4.0,-11.679589,23.8879
0.0,-93.47766,-2.8449814
4.0,-12.852745,40.166267
4.0,-38.038357,-15.418839
4.0,-10.042534,-7.8294363
4.0,44.66328,23.449505
4.0,-33.994213,85.03731
4.0,-4.9705625,-38.300808
4.0,0.5075178,17.478659
4.0,9.466442,-8.826671
4.0,11.554749,4.070139
4.0,-30.444633,73.99737
4.0,26.856298,32.808853
4.0,-57.83586,-29.891712
4.0,-2.34661,22.838648
2.0,-52.626987,-3.844683
0.0,-86.11153,22.784464
4.0,-8.45664,79.28641
4.0,13.849535,45.117626
4.0,-23.90992,-52.910698
4.0,-30.728966,67.992966
4.0,-10.882784,-0.32603693
4.0,-19.890926,-34.628086
4.0,17.222837,9.063778
4.0,-9.668087,-9.346378
0.0,-64.848404,26.806442
4.0,8.894907,-11.069443
0.0,-76.70794,25.15019
4.0,27.505756,7.5828147
0.0,17.270838,66.19414
0.0,48.38473,-17.331669
4.0,19.802652,-43.911575
4.0,7.7784243,31.850183
4.0,-20.516785,-75.643585
0.0,42.896175,11.8113365
4.0,0.76202166,39.772266
4.0,-11.271064,2.797675
4.0,-11.381582,-13.151763
4.0,27.202429,-63.591488
4.0,-31.26939,39.66033
4.0,-10.832654,-2.5511427
2.0,-18.951073,-19.676083
4.0,-38.900665,87.11005
4.0,-55.83668,-3.560357
0.0,-80.89628,-34.475018
4.0,-4.652139,-3.8433824
4.0,-9.884188,-10.686517
4.0,38.985764,25.521648
4.0,25.200495,-48.30081
0.0,-51.52271,48.83315
3.0,-67.63695,-16.254007
4.0,-5.4256763,79.76189
4.0,20.890175,2.8129902
0.0,-72.292984,-37.934116
0.0,-84.48883,25.593227
2.0,-36.935383,44.37322
2.0,-44.558655,20.971462
4.0,-10.229186,-45.667175
4.0,-8.695188,-8.691406
4.0,-65.036896,-19.296427
0.0,10.419471,-22.512499
4.0,-35.36161,-64.050964
4.0,-19.406591,-69.997055
4.0,20.491793,-28.618607
4.0,-3.7870567,-15.129852
4.0,-34.079212,-12.623119
0.0,84.99551,-6.325395
4.0,-7.539866,-18.34256
4.0,-38.32962,-21.011135
2.0,-40.61836,30.613651
4.0,-9.609297,-57.218605
4.0,19.298649,41.146255
4.0,-8.781348,-61.664307
4.0,-40.599033,-50.9462
4.0,16.750793,-15.426891
4.0,-4.630853,-16.767944
4.0,-42.24806,-20.2188
4.0,17.851608,51.640244
2.0,-31.416334,39.693344
2.0,-35.806824,27.95132
4.0,14.0870905,23.11281
4.0,38.23275,30.093739
0.0,42.269333,19.425932
2.0,-48.973072,-4.943117
4.0,34.854164,40.1748
4.0,-47.005276,-44.80411
4.0,-7.183055,-11.887705
0.0,44.960857,-47.37852
0.0,51.27589,-19.063099
0.0,-90.09742,15.165183
2.0,-33.54907,43.908638
4.0,-12.149628,72.1203
0.0,31.556135,-83.57403
4.0,24.531878,-4.945273
4.0,19.984966,23.756124
4.0,27.901442,-21.313974
4.0,-12.388163,63.470974
2.0,-16.997906,32.62024
4.0,11.376435,25.899328
4.0,16.86797,-50.70567
3.0,-62.869595,-19.283836
4.0,23.59526,14.676087
2.0,-59.858036,-20.310333
4.0,-39.4972,6.2145133
2.0,-42.77042,25.15276
4.0,-42.82091,-26.750511
0.0,-18.861061,-80.33127
2.0,-40.426346,30.144567
4.0,17.35649,-29.58181
4.0,-42.252438,-34.40584
4.0,-34.844673,7.6937003
0.0,-54.08528,-72.395355
4.0,28.556715,23.094246
0.0,-83.91903,26.078222
4.0,-16.713516,-42.398075
0.0,-58.49515,-79.96691
4.0,-1.681003,42.397537
4.0,19.482681,24.078932
4.0,13.788927,6.5206437
4.0,0.972774,38.850967
4.0,-40.951424,-35.23246
4.0,25.569654,28.88554
3.0,-72.29805,-1.6004047
0.0,-66.9885,18.871561
0.0,-49.182896,50.82564
0.0,-67.24564,46.275715
4.0,-40.237682,-61.59704
4.0,-0.7399112,17.99215
4.0,-28.017935,42.05938
0.0,84.00838,-5.44285
0.0,45.953014,-74.16719
0.0,-77.5642,-32.88008
4.0,20.831562,2.2178903
4.0,-41.98395,-32.22826
4.0,-27.925957,83.04195
4.0,24.24187,-11.504672
4.0,-15.987001,34.566578
2.0,-18.043827,-21.65596
4.0,-24.876225,10.809317
3.0,-73.104836,-10.675085
0.0,-52.99646,43.775555
4.0,11.391043,-39.304176
4.0,-30.198109,83.45597
4.0,-9.117807,26.351488
4.0,-22.02518,-24.860548
0.0,10.1188345,34.710415
0.0,-72.814156,43.151054
4.0,-1.9965148,23.554068
0.0,-63.856773,22.244774
0.0,-79.0507,-33.259228
0.0,40.390915,-43.434216
2.0,-49.221638,25.793457
4.0,-11.239934,6.691749
0.0,-73.364296,-37.118782
0.0,-98.61918,-4.783203
0.0,-65.58894,21.248678
4.0,-34.33161,-35.034096
4.0,17.619497,-3.4380925
4.0,-25.355425,42.911808
4.0,-38.953415,-21.276094
4.0,-15.610306,-4.92221
4.0,-15.072051,0.940508
4.0,16.352316,-43.020916
4.0,19.79979,17.019918
4.0,-59.140556,-29.213522
4.0,7.1898904,46.346348
4.0,8.893524,8.997699
4.0,7.709853,25.754337
4.0,-11.620335,3.1863656
0.0,1.9488801,-50.36553
4.0,-11.230606,65.44133
0.0,43.9951,18.306759
4.0,-48.39643,-24.979038
2.0,-57.53718,5.600018
4.0,-58.464455,-5.7772064
4.0,-18.405535,2.3250828
4.0,-17.537504,-37.731068
4.0,-9.893678,-12.683706
0.0,-80.76683,26.232841
4.0,-12.544711,63.375713
4.0,6.978242,32.994987
0.0,-54.191437,-71.83227
4.0,27.32508,-38.88759
0.0,51.325886,-62.048706
4.0,-46.79598,-36.851215
4.0,-6.021047,82.086494
4.0,-45.49143,-58.15677
4.0,-30.942873,-35.665264
2.0,-40.59138,18.213661
2.0,-29.291555,35.9698
4.0,-41.951,-31.991993
0.0,61.87005,-3.8533883
0.0,-83.057945,26.70302
4.0,20.879608,-28.826267
4.0,11.662596,-4.8318706
0.0,46.082207,6.2702885
4.0,-35.27018,-60.15421
3.0,-71.782234,-12.589666
2.0,-39.350796,22.757097
0.0,-95.83849,39.512146
0.0,-8.777034,79.60223
4.0,-3.8791862,-15.312662
0.0,20.16917,-19.996868
0.0,36.51695,-30.418793
4.0,-1.2888453,7.26275
4.0,11.558391,25.700739
4.0,25.82099,7.1531467
4.0,22.70579,15.404376
