Epoch,Loss,Learning_rate
0,-5182.87744140625,0.001
9,-5314.20751953125,0.001
19,-5370.73046875,0.001
29,-5409.1982421875,0.001
39,-5428.62841796875,0.001
49,-5450.93701171875,0.001
59,-5468.04052734375,0.001
69,-5481.3603515625,0.001
79,-5499.4111328125,0.001
89,-5511.90478515625,0.001
99,-5525.99658203125,0.001
109,-5537.9423828125,0.001
119,-5553.1630859375,0.001
129,-5563.88916015625,0.001
139,-5580.84814453125,0.001
149,-5593.32763671875,0.001
159,-5605.9345703125,0.001
169,-5618.9912109375,0.001
179,-5636.23779296875,0.001
189,-5650.17431640625,0.001
199,-5664.73486328125,0.001
