Epoch,Loss,Learning_rate
0,-4162.240234375,0.001
9,-4240.83056640625,0.001
19,-4276.228515625,0.001
29,-4300.43994140625,0.001
39,-4313.013671875,0.001
49,-4327.56640625,0.001
59,-4337.3251953125,0.001
69,-4346.009765625,0.001
79,-4357.51171875,0.001
89,-4365.2705078125,0.001
99,-4374.19873046875,0.001
109,-4381.541015625,0.001
119,-4391.43408203125,0.001
129,-4398.2880859375,0.001
139,-4408.99560546875,0.001
149,-4416.41064453125,0.001
159,-4424.97216796875,0.001
169,-4432.400390625,0.001
179,-4443.3896484375,0.001
189,-4452.51318359375,0.001
199,-4460.927734375,0.001
