Label,user_nIdx,UserName,Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,Vip
1,0,薪火鹏,1.0,17.0,2.0,1.0,30.0,56.0,692.0,0.0,0.0,0.0
3,1,提尔乌斯,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,猫的摇篮-伪物,1.0,11.0,1.0,1.0,917.0,1109.0,2013.0,0.0,0.0,0.0
0,3,非常神奇的老z,0.0,0.0,0.0,1.0,13.0,59.0,9.0,0.0,0.0,0.0
3,4,假装很强的萌新,1.0,10.0,0.0,1.0,14.0,34.0,107.0,0.0,1.0,0.0
2,5,空空今天养乐多了吗,1.0,8.0,0.0,0.0,403.0,1436.0,7101.0,1.0,1.0,1.0
1,6,阿卡牟-akamoo,1.0,12.0,0.0,1.0,36.0,146.0,30.0,0.0,0.0,0.0
1,7,Y口十子,1.0,5.0,0.0,1.0,1145.0,377.0,4991.0,0.0,0.0,0.0
5,8,斯蒂芬徐,1.0,3.0,1.0,1.0,352.0,1344.0,4089.0,0.0,0.0,0.0
4,9,FAITHLESSS,0.0,0.0,0.0,1.0,199.0,290.0,553.0,0.0,0.0,0.0
5,10,4K包子,1.0,4.0,0.0,1.0,93.0,178.0,261.0,0.0,0.0,0.0
1,11,Clown1008,1.0,8.0,2.0,1.0,778.0,980.0,9.0,0.0,0.0,0.0
0,12,绯色灼眼,0.0,0.0,0.0,1.0,319.0,901.0,1009.0,0.0,0.0,0.0
1,13,Luciferbear,1.0,17.0,3.0,1.0,272.0,4944.0,6101.0,0.0,0.0,0.0
3,14,zx小堕,1.0,4.0,0.0,1.0,283.0,487.0,336.0,0.0,0.0,0.0
2,15,让我成为自己的锚,1.0,10.0,0.0,0.0,102.0,352.0,700.0,0.0,0.0,0.0
3,16,翔锅就是大象,1.0,8.0,0.0,1.0,1552.0,2459.0,4235.0,0.0,0.0,0.0
2,17,DoctorRab,1.0,15.0,4.0,0.0,183.0,296.0,9500.0,0.0,0.0,0.0
1,18,燃烧de狒狒,1.0,21.0,1.0,1.0,115.0,265.0,199.0,0.0,0.0,0.0
3,19,lkx3377456,1.0,7.0,2.0,1.0,56.0,44.0,394.0,0.0,0.0,0.0
